Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
17-10-2007,IK Pathan,0,FALSE,4,5,0,0,0,2,B,Australia,Mumbai
08-11-2007,RV Uthappa,0,FALSE,1,2,0,0,0,1,B,Pakistan,Mohali
05-02-2008,RG Sharma,0,FALSE,1,2,0,0,0,1,B,Sri Lanka,Brisbane
17-02-2008,MM Patel,0,FALSE,11,9,0,0,0,2,B,Australia,Adelaide
19-02-2008,SR Tendulkar,0,FALSE,6,2,0,0,0,2,B,Sri Lanka,Adelaide
02-07-2008,YK Pathan,0,FALSE,6,4,0,0,0,1,B,Pakistan,Karachi
06-07-2008,Yuvraj Singh,0,FALSE,2,2,0,0,0,2,B,Sri Lanka,Karachi
06-07-2008,RP Singh,0,FALSE,2,1,0,0,0,2,B,Sri Lanka,Karachi
18-08-2008,G Gambhir,0,FALSE,1,2,0,0,0,1,B,Sri Lanka,Dambulla
20-08-2008,RG Sharma,0,FALSE,2,2,0,0,0,2,B,Sri Lanka,Dambulla
27-08-2008,Yuvraj Singh,0,FALSE,12,6,0,0,0,1,B,Sri Lanka,Colombo (RPS)
27-08-2008,Z Khan,0,FALSE,5,2,0,0,0,1,B,Sri Lanka,Colombo (RPS)
14-11-2008,YK Pathan,0,FALSE,4,2,0,0,0,1,B,England,Rajkot
05-02-2009,YK Pathan,0,FALSE,1,1,0,0,0,1,B,Sri Lanka,Colombo (RPS)
08-02-2009,SK Raina,0,FALSE,4,3,0,0,0,2,B,Sri Lanka,Colombo (RPS)
06-03-2009,Yuvraj Singh,0,FALSE,5,4,0,0,0,1,B,New Zealand,Wellington
14-03-2009,YK Pathan,0,FALSE,3,4,0,0,0,1,B,New Zealand,Auckland
26-06-2009,RA Jadeja,0,FALSE,1,1,0,0,0,1,B,West Indies,Kingston
28-06-2009,G Gambhir,0,FALSE,7,2,0,0,0,1,B,West Indies,Kingston
28-06-2009,RG Sharma,0,FALSE,7,2,0,0,0,1,B,West Indies,Kingston
28-06-2009,YK Pathan,0,FALSE,12,9,0,0,0,1,B,West Indies,Kingston
12-09-2009,SK Raina,0,FALSE,6,1,0,0,0,2,B,Sri Lanka,Colombo (RPS)
14-09-2009,YK Pathan,0,FALSE,5,1,0,0,0,1,B,Sri Lanka,Colombo (RPS)
26-09-2009,I Sharma,0,FALSE,1,1,0,0,0,2,B,Pakistan,Centurion
05-11-2009,Harbhajan Singh,0,FALSE,1,2,0,0,0,2,B,Australia,Hyderabad (Deccan)
08-11-2009,G Gambhir,0,FALSE,1,2,0,0,0,1,B,Australia,Guwahati
08-11-2009,SK Raina,0,FALSE,6,5,0,0,0,1,B,Australia,Guwahati
08-11-2009,Harbhajan Singh,0,FALSE,1,2,0,0,0,1,B,Australia,Guwahati
08-11-2009,MM Patel,0,FALSE,1,2,0,0,0,1,B,Australia,Guwahati
18-12-2009,Harbhajan Singh,0,FALSE,1,1,0,0,0,1,B,Sri Lanka,Nagpur
13-01-2010,G Gambhir,0,FALSE,2,2,0,0,0,1,B,Sri Lanka,Dhaka
13-01-2010,Yuvraj Singh,0,FALSE,8,3,0,0,0,1,B,Sri Lanka,Dhaka
28-05-2010,V Kohli,0,FALSE,3,0,0,0,NA,1,B,Zimbabwe,Bulawayo
03-06-2010,A Mishra,0,FALSE,3,3,0,0,0,1,B,Zimbabwe,Harare
05-06-2010,AB Dinda,0,FALSE,1,1,0,0,0,1,B,Sri Lanka,Harare
16-06-2010,RG Sharma,0,FALSE,1,1,0,0,0,2,B,Bangladesh,Dambulla
22-06-2010,RA Jadeja,0,FALSE,1,1,0,0,0,1,B,Sri Lanka,Dambulla
22-06-2010,P Kumar,0,FALSE,1,1,0,0,0,1,B,Sri Lanka,Dambulla
